beta_strategy,algorithm,mean_regret,std_regret,mean_beta_error,std_beta_error,runtime
uniform,LinUCB,35.40790478946626,11.921481975583985,0.3377774676736025,0.13836272655616705,28.732318878173828
uniform,ThompsonSampling,71.89449962427278,17.220175743532256,0.29376333637160656,0.1115558984196085,29.110513925552368
uniform,EpsilonGreedy,36.90158743473919,13.16469541033822,0.3278092026559184,0.15209709568239876,30.668627977371216
uniform,ForcedSampling,102.61009836042578,25.032130361887756,0.29322783362442967,0.09741441102320067,32.54991006851196
gaussian,LinUCB,52.52750856612533,22.84622518214915,0.3086813758750231,0.10705583436881023,28.94581699371338
gaussian,ThompsonSampling,97.83194119305601,54.711366501093565,0.28072515266513437,0.07399065779934096,29.61840295791626
gaussian,EpsilonGreedy,59.11675161699177,22.585590605348717,0.3031880607379436,0.098964657778523,29.113785982131958
gaussian,ForcedSampling,247.18075000083908,69.00712296260981,0.3002802652225589,0.10686952192062117,34.36994528770447
heavy_tailed,LinUCB,56.34878732531416,22.373708770729014,0.31186007709927965,0.10681090850493623,29.416152000427246
heavy_tailed,ThompsonSampling,105.28946656121715,61.42754376119874,0.294765910848314,0.09593966657104999,29.05243492126465
heavy_tailed,EpsilonGreedy,73.5426049696688,26.7279775920655,0.3062863270707711,0.0813267288993872,30.118340730667114
heavy_tailed,ForcedSampling,306.733133962613,94.7971357113603,0.2907577810755809,0.09971093906735791,35.10067105293274
sparse,LinUCB,29.331936873404153,9.33324114271183,0.35468974097931777,0.16292903147174034,26.507070064544678
sparse,ThompsonSampling,53.74248777077832,11.94823445489479,0.29405522695588227,0.08933522739494973,26.8701229095459
sparse,EpsilonGreedy,31.060495688148123,10.151689298107698,0.3575120781657341,0.23422506588414355,27.202031135559082
sparse,ForcedSampling,72.6914378124282,17.6160348075275,0.293473855559613,0.09833972485650028,34.48371887207031
