d,algorithm,mean_regret,std_regret,mean_beta_error,std_beta_error,runtime
5,LinUCB,27.22358923375076,8.063892645356148,0.3670239421701858,0.2516801375882344,4.2048938274383545
5,ThompsonSampling,40.64367655685692,15.984644355310913,0.3215554027485563,0.241786478230264,3.8865349292755127
5,EpsilonGreedy,26.134534340005775,8.055023335148896,0.3605695858654257,0.17180171831773391,4.85920786857605
5,ForcedSampling,55.91995812223056,22.75850922348731,0.28631285065503154,0.12429105867664327,5.474323987960815
10,LinUCB,56.12841544053528,17.4796114007544,0.5349317432271157,0.27475644354468315,7.495810031890869
10,ThompsonSampling,72.71274237113934,21.53238114521485,0.4830102241419027,0.17451306262869568,7.765602111816406
10,EpsilonGreedy,56.938269247384724,16.85518861233463,0.4946445397198107,0.17714179628302568,7.178472995758057
10,ForcedSampling,164.74215504071506,57.60376924622659,0.4904407958158618,0.14733329035709347,7.434360980987549
20,LinUCB,113.7527920825203,23.90854671628551,0.9837091458504912,0.34778343582828,14.226592063903809
20,ThompsonSampling,120.90056129602176,24.363251403127297,1.0266270287229318,0.4547579253811139,13.699150085449219
20,EpsilonGreedy,108.57307066346804,21.111190949753517,0.9947173082539221,0.41399446359906156,13.037722110748291
20,ForcedSampling,226.21034227947416,41.80914994616753,1.0557532795598927,0.775393281781536,13.932971000671387
30,LinUCB,225.46403005282704,49.59603247935513,1.686662706271278,0.538605248692336,17.365092039108276
30,ThompsonSampling,241.73984718336,57.57714473889193,1.8257665261342484,0.9049130923571739,17.83784294128418
30,EpsilonGreedy,238.80734456962637,50.917163904123605,1.7812888254480268,0.6907069405770248,22.853521823883057
30,ForcedSampling,395.1482117292023,52.691059182983,1.6798468193942344,0.585864143072163,22.036631107330322
