tau,algorithm,mean_regret,std_regret,mean_beta_error,std_beta_error,runtime
0.25,LinUCB,55.956638682702845,23.37104969610342,0.3977145247024431,0.1322667248861285,35.12006688117981
0.25,ThompsonSampling,101.50327379776711,48.54017942751477,0.37310237072568164,0.11234640844826115,38.87707209587097
0.25,EpsilonGreedy,64.0665907815714,18.141187070611203,0.40330062367597874,0.13800748166174062,38.91654181480408
0.25,ForcedSampling,272.5046615422866,67.82752584171593,0.38050125439516586,0.10434686557033299,42.39427971839905
0.5,LinUCB,52.52750856612533,22.84622518214915,0.3086813758750231,0.10705583436881023,28.71917486190796
0.5,ThompsonSampling,97.83194119305601,54.711366501093565,0.28072515266513437,0.07399065779934096,29.4423611164093
0.5,EpsilonGreedy,59.11675161699177,22.585590605348717,0.3031880607379436,0.098964657778523,30.347359895706177
0.5,ForcedSampling,247.18075000083908,69.00712296260981,0.3002802652225589,0.10686952192062117,36.41917276382446
0.75,LinUCB,56.98060233107594,23.53079888097056,0.3965696223392107,0.12799124339929907,37.04473876953125
0.75,ThompsonSampling,100.93083187212692,49.68103763937499,0.34193744533556036,0.11904614479804658,37.35017800331116
0.75,EpsilonGreedy,66.64686416045738,20.84942168935777,0.3893415111051139,0.14084620867229147,37.87868022918701
0.75,ForcedSampling,255.81395451399948,81.07010591263649,0.36598235888935277,0.11304950791456003,41.787484884262085
